"","ME1","ME8","ME7","ME5","ME6","ME9","ME3","ME4","ME0"
"08-0789",0.106801726525689,-0.0452717915728225,-0.124302560179186,-0.0269770751364363,-0.107966461186033,0.0174231274961749,-0.146030465650095,-0.154783602370906,-0.0177946493688647
"09-1166",-0.215403287352407,0.159054289133031,0.107601113429765,0.282830894186068,0.234334842633666,0.364544371637331,-0.0866139048582633,0.141863158680759,-0.0614162221053112
"09-1589",0.122697107481946,-0.083251958120124,-0.0958827148477418,-0.0518579860841181,-0.019181850484514,0.0339700969542153,-0.131469764499059,-0.0810051714541175,0.074138858055992
"10-0188",0.0849344856432706,0.209360777945428,-0.047972294168528,-0.114361276907988,-0.00711959673632389,-0.142570744850527,-0.118842729559487,-0.198532569852014,-0.097391659292524
"10-0213",1.06812885268181e-16,7.28618700037232e-16,2.98970279232506e-16,4.38944254927859e-16,-4.06394507583831e-16,-6.43308190451641e-17,2.14428907036344e-16,-8.68523021012215e-17,3.53249130122635e-16
"10-0867",0.171179881290877,-0.318428209681712,0.0474978780768921,-0.15246592312651,-0.0750903657270855,-0.0249081968952254,0.0475640384405055,-0.0709479480672433,0.0744219592284503
"10-1363",0.0723905467650858,0.0538903041571493,0.104442150630772,-0.0456997680703075,-0.121180692301892,-0.168640647671242,0.026357462321207,-0.0368346635733192,0.083182671583136
"10-1770",-0.0278566702629605,-0.144007971745868,0.340400349460907,0.0684734498670105,0.0596483227095649,0.105341389035118,0.113011055002362,0.100913214565895,0.0836718081582105
"10-1930",0.0200554494441571,-0.00594319373018867,0.0494284533396828,0.0161997831897562,-0.00397340568312851,0.0841045182873995,-0.160129678419195,-0.114825257851338,-0.101055048352182
"10-2007",0.0542463743845764,0.281419854736393,0.0718155579623938,-0.0792604791180769,-0.0269355620068522,-0.102756431898597,-0.0199802126254229,-0.0827277125991964,-0.0102586968587667
"11-0311",1.06812885268181e-16,7.28618700037232e-16,2.98970279232506e-16,4.38944254927859e-16,-4.06394507583831e-16,-6.43308190451641e-17,2.14428907036344e-16,-8.68523021012214e-17,3.53385699243255e-16
"11-0352",0.203594743381114,0.485020605067212,0.0168314138876441,-0.150150466365617,-0.155147831325604,-0.384633761310925,-0.112191398855002,-0.160511396483343,0.150337690071907
"11-0393",-0.00466204456723808,0.086772662401614,-0.142389198838659,0.0471472010874118,0.104334741167749,0.167188445170837,-0.188084995242016,-0.107070330036314,-0.206576735781892
"11-0773",0.143749125003552,-0.0103143636989254,-0.117927304576839,-0.0599643745297339,-0.146280524839464,0.0827691101442663,-0.0265768988834792,-0.0296483665296077,0.160158785329841
"11-1475",0.108936879093817,-0.0777533456972748,-0.0225613171459464,-0.104138985808717,-0.187269971817387,-0.227800591725297,0.120342113282963,0.0478579518869879,0.147656132304574
"12-1181",1.06812885268181e-16,7.28618700037232e-16,2.98970279232506e-16,4.38944254927859e-16,-4.06394507583831e-16,-6.43308190451641e-17,2.14428907036344e-16,-8.68523021012214e-17,3.53385699243255e-16
"13-0038",0.0841587025021256,0.0874289201749443,-0.406833124623462,-0.112578216228951,-0.124478985873601,0.00457466012649825,0.102471899148614,-0.0104766187674682,-0.00511673271240243
"13-0419",0.160987495597552,-0.134738375175674,-0.0456933133877413,-0.0701672659570063,-0.0601409419608135,-0.0343926684579406,0.0500672337434367,-0.0479305869592661,0.11366167177307
"13-0855",-0.306332007288283,-0.0108424233153628,-0.123822497521319,0.312215496668753,0.215485764340821,0.2348929653384,0.205847594197451,0.346752705793423,0.0599712546230896
"13-0962",-0.0515917849788438,0.174476792707294,0.0716223301228182,0.0571261908176469,0.163713359310992,-0.126869630020319,-0.143261000571857,-0.100205262954396,-0.192821657013153
"13-1226",-0.0132437296303391,-0.202525532677744,0.0947879780129742,0.0625452744037082,0.0188535065946936,0.094683778679567,-0.154115250444603,-0.0609331700071496,-0.12043556661363
"13-1300",-0.144040327010845,-0.0918908078480507,0.0710900922789413,0.170143487825573,0.146861792837141,0.00804320504846892,0.0913002885270758,0.185762959419671,0.0490276744406001
"14-0380",-0.0855739783734829,0.210904736808672,0.0765003087182494,0.0885847741793571,0.0584595202117055,0.215471450866454,0.0345613350671509,0.0842869484980559,0.00108314162850855
"14-0513",-0.539917431072102,0.231659184259252,0.444117833815168,0.47594088486741,0.692591754151613,0.0494993210017299,-0.272629372273559,0.208493671835428,-0.389723980870662
"14-0586",0.0343330450163884,0.0618518872418351,0.206042972662279,-0.230818292522424,-0.170260758711092,0.122465459269252,-0.0714246587664053,-0.30105339607686,-0.280729753469118
"14-0941",0.0309219340623017,-0.0231807539295191,0.0756721803499282,-0.176140600988459,-0.190925180288258,0.0355945045317339,0.180982500697369,0.0270517491431714,0.0516196240407604
"14-1018",0.0949588247263892,-0.249171285817653,0.154136921461834,-0.0893383515971242,0.0539718590828204,0.161944607790547,0.0577960780602569,-0.00939880646761638,0.055087615599148
"14-1383",-0.0582409693930368,0.0400366365511503,-0.131576801769029,0.167334657858398,0.0826748586591027,-0.130573721594919,0.0323077354029099,0.157175482440683,0.123655689286198
"15-1023",0.0596125064743637,-0.16460377746534,-0.216178222316739,-0.021600941523838,0.0110695956729347,-0.125727676594092,-0.189586456826646,-0.171247400990849,-0.110433657299471
"15-1025",-0.0228721212191857,0.0387208644842738,-0.123629731576014,0.0396409887137627,-0.0358872132786718,0.057216543128733,-0.042745688310609,0.00182076468697381,-0.12021477348028
